name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,national_player,caps/goals,foot,age,current_international,former_international
Manuel Neuer,/manuel-neuer/profil/spieler/17259,€7.00m,Bayern Munich,GER,"Mar 27, 1986 (37)",Gelsenkirchen,Germany,"1,93 m",Goalkeeper,PRO Profil GmbH,Germany,117 / 0,right,37,,
Daniel Peretz,/daniel-peretz/profil/spieler/468539,€4.00m,Bayern Munich,GER,"Jul 10, 2000 (23)",Tel Aviv,Israel,"1,90 m",Goalkeeper,,,Jan-00,right,23,Israel,
Sven Ulreich,/sven-ulreich/profil/spieler/40680,€700k,Bayern Munich,GER,"Aug 3, 1988 (35)",Schorndorf,Germany,"1,92 m",Goalkeeper,,,0 / 0,right,35,,Germany
Tom Hülsmann,/tom-hulsmann/profil/spieler/639582,€75k,Bayern Munich,GER,"Apr 11, 2004 (19)",Trier,Germany,"2,05 m",Goalkeeper,,,,right,19,,
Matthijs de Ligt,/matthijs-de-ligt/profil/spieler/326031,€75.00m,Bayern Munich,GER,"Aug 12, 1999 (24)",Leiderdorp,Netherlands,"1,89 m",Centre-Back,Rafaela Pimenta,,42 / 2,right,24,Netherlands,
Dayot Upamecano,/dayot-upamecano/profil/spieler/344695,€60.00m,Bayern Munich,GER,"Oct 27, 1998 (24)",Évreux,France,"1,86 m",Centre-Back,,,16 / 2,right,24,France,
Min-jae Kim,/min-jae-kim/profil/spieler/503482,€60.00m,Bayern Munich,GER,"Nov 15, 1996 (26)","Tongyeong, Gyeongnam","Korea, South","1,90 m",Centre-Back,,,49 / 3,right,26,South Korea,
Tarek Buchmann,/tarek-buchmann/profil/spieler/744729,,Bayern Munich,GER,"Feb 28, 2005 (18)",Augsburg,Germany,"1,88 m",Centre-Back,11WINS,Germany U18,Jan-00,,18,,
Alphonso Davies,/alphonso-davies/profil/spieler/424204,€70.00m,Bayern Munich,GER,"Nov 2, 2000 (22)",Buduburam,Canada,"1,85 m",Left-Back,ATG Sports,Canada,41 / 14,left,22,,
Raphaël Guerreiro,/raphael-guerreiro/profil/spieler/170986,€20.00m,Bayern Munich,GER,"Dec 22, 1993 (29)",Le Blanc-Mesnil,Portugal,"1,70 m",Left-Back,,,64 / 4,left,29,Portugal,
Frans Krätzig,/frans-kratzig/profil/spieler/604320,€150k,Bayern Munich,GER,"Jan 14, 2003 (20)",,Germany,"1,71 m",Left-Back,ROOF Talents,,Jan-00,left,20,Germany U20,
Noussair Mazraoui,/noussair-mazraoui/profil/spieler/340456,€28.00m,Bayern Munich,GER,"Nov 14, 1997 (25)",Leiderdorp,Morocco,"1,83 m",Right-Back,Rafaela Pimenta,,24 / 2,right,25,Morocco,
Bouna Sarr,/bouna-sarr/profil/spieler/190685,€2.00m,Bayern Munich,GER,"Jan 31, 1992 (31)",Lyon,Senegal,"1,78 m",Right-Back,,,13 / 0,right,31,,Senegal
Joshua Kimmich,/joshua-kimmich/profil/spieler/161056,€75.00m,Bayern Munich,GER,"Feb 8, 1995 (28)",Rottweil,Germany,"1,77 m",Defensive Midfield,,,80 / 6,right,28,Germany,
Aleksandar Pavlovic,/aleksandar-pavlovic/profil/spieler/792380,€200k,Bayern Munich,GER,"May 3, 2004 (19)",München,Germany,"1,88 m",Defensive Midfield,,,,na,19,,
Leon Goretzka,/leon-goretzka/profil/spieler/153084,€45.00m,Bayern Munich,GER,"Feb 6, 1995 (28)",Bochum,Germany,"1,89 m",Central Midfield,,Germany,53 / 14,right,28,,
Konrad Laimer,/konrad-laimer/profil/spieler/223967,€28.00m,Bayern Munich,GER,"May 27, 1997 (26)",Salzburg,Austria,"1,80 m",Central Midfield,ROOF,,26 / 2,right,26,Austria,
Jamal Musiala,/jamal-musiala/profil/spieler/580195,€110.00m,Bayern Munich,GER,"Feb 26, 2003 (20)",Stuttgart,Germany,"1,84 m",Attacking Midfield,11WINS,Germany,23 / 1,right,20,,
Kingsley Coman,/kingsley-coman/profil/spieler/243714,€65.00m,Bayern Munich,GER,"Jun 13, 1996 (27)",Paris,France,"1,81 m",Left Winger,,,50 / 5,right,27,France,
Leroy Sané,/leroy-sane/profil/spieler/192565,€65.00m,Bayern Munich,GER,"Jan 11, 1996 (27)",Essen,Germany,"1,83 m",Right Winger,,,54 / 12,left,27,Germany,
Serge Gnabry,/serge-gnabry/profil/spieler/159471,€55.00m,Bayern Munich,GER,"Jul 14, 1995 (28)",Stuttgart,Germany,"1,76 m",Right Winger,ROOF,,42 / 22,right,28,Germany,
