name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,current_international,caps/goals,foot,age,national_player,former_international
Gianluigi Donnarumma,/gianluigi-donnarumma/profil/spieler/315858,€45.00m,Paris Saint-Germain,FRA,"Feb 25, 1999 (24)",Castellammare di ...,Italy,"1,96 m",Goalkeeper,Team Raiola,Italy,54 / 0,right,24,,
Arnau Tenas,/arnau-tenas/profil/spieler/466783,€5.00m,Paris Saint-Germain,FRA,"May 30, 2001 (22)",Vic,Spain,"1,85 m",Goalkeeper,,,14 / 0,right,22,Spain U21,
Keylor Navas,/keylor-navas/profil/spieler/79422,€4.00m,Paris Saint-Germain,FRA,"Dec 15, 1986 (36)",San Isidro de El ...,Costa Rica,"1,85 m",Goalkeeper,,Costa Rica,110 / 0,right,36,,
Sergio Rico,/sergio-rico/profil/spieler/207302,€3.00m,Paris Saint-Germain,FRA,"Sep 1, 1993 (30)",Sevilla,Spain,"1,96 m",Goalkeeper,,,Jan-00,right,30,,Spain
Alexandre Letellier,/alexandre-letellier/profil/spieler/93730,€300k,Paris Saint-Germain,FRA,"Dec 11, 1990 (32)",Paris,France,"1,93 m",Goalkeeper,,,,right,32,,
Marquinhos,/marquinhos/profil/spieler/181767,€65.00m,Paris Saint-Germain,FRA,"May 14, 1994 (29)",São Paulo,Brazil,"1,83 m",Centre-Back,,Brazil,79 / 6,right,29,,
Milan Skriniar,/milan-skriniar/profil/spieler/204069,€50.00m,Paris Saint-Germain,FRA,"Feb 11, 1995 (28)",Žiar nad Hronom,Slovakia,"1,88 m",Centre-Back,,Slovakia,58 / 3,right,28,,
Lucas Hernández,/lucas-hernandez/profil/spieler/281963,€45.00m,Paris Saint-Germain,FRA,"Feb 14, 1996 (27)",Marseille,France,"1,84 m",Centre-Back,,France,34 / 0,left,27,,
Presnel Kimpembe,/presnel-kimpembe/profil/spieler/282041,€28.00m,Paris Saint-Germain,FRA,"Aug 13, 1995 (28)",Beaumont-sur-Oise,France,"1,83 m",Centre-Back,CAA Stellar,,28 / 0,left,28,,France
Nuno Mendes,/nuno-mendes/profil/spieler/616341,€65.00m,Paris Saint-Germain,FRA,"Jun 19, 2002 (21)",Lisboa,Portugal,"1,83 m",Left-Back,MRP.POSITIONUMBER,,19 / 0,left,21,Portugal,
Layvin Kurzawa,/layvin-kurzawa/profil/spieler/126710,€3.00m,Paris Saint-Germain,FRA,"Sep 4, 1992 (31)",Fréjus,France,"1,82 m",Left-Back,,,13 / 1,left,31,,France
Achraf Hakimi,/achraf-hakimi/profil/spieler/398073,€65.00m,Paris Saint-Germain,FRA,"Nov 4, 1998 (24)",Madrid,Morocco,"1,81 m",Right-Back,,Morocco,64 / 8,right,24,,
