name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,current_international,caps/goals,foot,age,former_international,national_player
Ederson,/ederson/profil/spieler/238223,€40.00m,Manchester City,ENG,"Aug 17, 1993 (30)",Osasco (SP),Brazil,"1,88 m",Goalkeeper,Gestifute,Brazil,22 / 0,left,30,,
Stefan Ortega,/stefan-ortega/profil/spieler/85941,€9.00m,Manchester City,ENG,"Nov 6, 1992 (30)",Hofgeismar,Germany,"1,85 m",Goalkeeper,,,0 / 0,right,30,Germany U19,
Zack Steffen,/zack-steffen/profil/spieler/221624,€3.50m,Manchester City,ENG,"Apr 2, 1995 (28)","Coatesville, ...",United States,"1,91 m",Goalkeeper,,,29 / 0,right,28,,USA
Scott Carson,/scott-carson/profil/spieler/14555,€200k,Manchester City,ENG,"Sep 3, 1985 (38)",Whitehaven,England,"1,88 m",Goalkeeper,,,Apr-00,right,38,England,
Rúben Dias,/ruben-dias/profil/spieler/258004,€80.00m,Manchester City,ENG,"May 14, 1997 (26)",Amadora,Portugal,"1,87 m",Centre-Back,Gestifute,Portugal,49 / 2,right,26,,
Josko Gvardiol,/josko-gvardiol/profil/spieler/475959,€75.00m,Manchester City,ENG,"Jan 23, 2002 (21)",Zagreb,Croatia,"1,85 m",Centre-Back,,Croatia,22 / 2,left,21,,
Nathan Aké,/nathan-ake/profil/spieler/177476,€42.00m,Manchester City,ENG,"Feb 18, 1995 (28)",Den Haag,Netherlands,"1,80 m",Centre-Back,,Netherlands,38 / 5,left,28,,
John Stones,/john-stones/profil/spieler/186590,€40.00m,Manchester City,ENG,"May 28, 1994 (29)",Barnsley,England,"1,88 m",Centre-Back,,,67 / 3,right,29,,England
Manuel Akanji,/manuel-akanji/profil/spieler/284730,€38.00m,Manchester City,ENG,"Jul 19, 1995 (28)",Wiesendangen,Switzerland,"1,88 m",Centre-Back,,Switzerland,51 / 2,right,28,,
Sergio Gómez,/sergio-gomez/profil/spieler/366930,€13.00m,Manchester City,ENG,"Sep 4, 2000 (23)",Badalona,Spain,"1,71 m",Left-Back,SEG,,19 / 10,left,23,,Spain U21
Rico Lewis,/rico-lewis/profil/spieler/701057,€20.00m,Manchester City,ENG,"Nov 21, 2004 (18)",Bury,England,"1,69 m",Right-Back,,England U21,Jan-00,right,18,,
Kyle Walker,/kyle-walker/profil/spieler/95424,€13.00m,Manchester City,ENG,"May 28, 1990 (33)",Sheffield,England,"1,83 m",Right-Back,,England,77 / 1,right,33,,
Rodri,/rodri/profil/spieler/357565,€90.00m,Manchester City,ENG,"Jun 22, 1996 (27)",Madrid,Spain,"1,91 m",Defensive Midfield,,Spain,44 / 1,right,27,,
Kalvin Phillips,/kalvin-phillips/profil/spieler/351749,€32.00m,Manchester City,ENG,"Dec 2, 1995 (27)",Leeds,England,"1,79 m",Defensive Midfield,CAA Stellar,England,27 / 1,right,27,,
Matheus Nunes,/matheus-nunes/profil/spieler/601883,€45.00m,Manchester City,ENG,"Aug 27, 1998 (25)",Rio de Janeiro,Portugal,"1,83 m",Central Midfield,Gestifute,,1-Nov,right,25,,Portugal
Mateo Kovacic,/mateo-kovacic/profil/spieler/51471,€38.00m,Manchester City,ENG,"May 6, 1994 (29)",Linz,Croatia,"1,77 m",Central Midfield,VPA Sports,Croatia,95 / 5,right,29,,
Bernardo Silva,/bernardo-silva/profil/spieler/241641,€80.00m,Manchester City,ENG,"Aug 10, 1994 (29)",Lisboa,Portugal,"1,73 m",Attacking Midfield,Gestifute,Portugal,83 / 11,left,29,,
