name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,current_international,caps/goals,foot,age,former_international,national_player,agent
Alex Meret,/alex-meret/profil/spieler/240414,€18.00m,SSC Napoli,ITA,"Mar 22, 1997 (26)",Udine,Italy,"1,90 m",Goalkeeper,Italy,Mar-00,left,26,,,
Pierluigi Gollini,/pierluigi-gollini/profil/spieler/244192,€4.50m,SSC Napoli,ITA,"Mar 18, 1995 (28)",Bologna,Italy,"1,94 m",Goalkeeper,,Jan-00,right,28,Italy,,
Nikita Contini,/nikita-contini/profil/spieler/250683,€500k,SSC Napoli,ITA,"May 21, 1996 (27)",Cherkasy,Italy,"1,90 m",Goalkeeper,,,right,27,,,
Hubert Idasiak,/hubert-idasiak/profil/spieler/555557,€150k,SSC Napoli,ITA,"Feb 3, 2002 (21)",Sławno,Poland,"1,88 m",Goalkeeper,,0 / 0,right,21,Poland U19,,
Amir Rrahmani,/amir-rrahmani/profil/spieler/257732,€25.00m,SSC Napoli,ITA,"Feb 24, 1994 (29)",Prishtinë,Kosovo,"1,92 m",Centre-Back,Kosovo,50 / 6,na,29,,,
Leo Østigård,/leo-ostigard/profil/spieler/367284,€7.00m,SSC Napoli,ITA,"Nov 28, 1999 (23)",Åndalsnes,Norway,"1,82 m",Centre-Back,Norway,13 / 1,right,23,,,
Natan,/natan/profil/spieler/735568,€5.50m,SSC Napoli,ITA,"Feb 6, 2001 (22)",Itapecerica da Serra,Brazil,"1,88 m",Centre-Back,,0 / 0,left,22,Brazil U20,,
Juan Jesus,/juan-jesus/profil/spieler/121985,€3.50m,SSC Napoli,ITA,"Jun 10, 1991 (32)",Belo Horizonte,Brazil,"1,85 m",Centre-Back,,Apr-00,left,32,Brazil,,
Mathías Olivera,/mathias-olivera/profil/spieler/376514,€18.00m,SSC Napoli,ITA,"Oct 31, 1997 (25)",Montevideo,Uruguay,"1,85 m",Left-Back,Uruguay,Dec-00,left,25,,,
Mário Rui,/mario-rui/profil/spieler/87884,€8.00m,SSC Napoli,ITA,"May 27, 1991 (32)",Sines,Portugal,"1,68 m",Left-Back,,Dec-00,left,32,,Portugal,
